SUBCOUNTY,YEAR,EVI,LST,NDVI,latitude,longitude,Quantity,Temperature,Rainfall,EVI_NDVI_ratio,Vegetation_index,LST_celsius,Temp_stress,Heat_index,Rainfall_per_temp,Water_stress,Years_since_start,Is_drought_year,Is_good_rain_year,Lat_long_interaction,SUBCOUNTY_encoded,Prev_year_quantity,Prev_year_EVI,Prev_year_rainfall,EVI_3yr_avg,Rainfall_3yr_avg,Yield_per_EVI,Yield_per_rainfall
Cherangany,2023,0.372153876,300.9115949,0.620299363,1.026172733,35.19162412,134259,20.0677,1332.8,0.5999575337988315,0.4962266195,27.761594900000034,0.5173471363636324,557.1113579747306,66.41518129057235,15.056797707790516,10,0,0,36.11268510192912,0,95925.0,0.317769802,1102.1,0.345973724,1155.0666666666666,360761.093454006,100.73454374194587
Endebess,2013,0.350422838,293.5736923,0.556232062,1.127661436,34.77227732,71868,19.475,1474.7,0.6299928248421882,0.45332744999999997,20.423692300000027,0.07535286363636473,397.75140754250054,75.72271754953952,13.206075803074473,0,0,0,39.21135617566143,1,75986.5,0.3325061925,1394.85,0.350422838,1474.7,205088.78736725668,48.733979759453455
Endebess,2014,0.329230047,293.4348298,0.502333757,1.127661436,34.77227732,73855,18.816,1280.9,0.6553996959441928,0.41578190200000004,20.28482980000001,0.7343528636363672,381.67935751680017,68.07503889907319,14.689671313381469,1,0,0,39.21135617566143,1,71868.0,0.350422838,1474.7,0.33982644250000005,1377.8000000000002,224325.7453176948,57.65867744737396
Endebess,2015,0.316762263,297.3500302,0.560479676,1.127661436,34.77227732,63113,19.6416667,1395.7,0.565161791590474,0.4386209695,24.200030200000015,0.0913138363636321,475.3289273183346,71.05812099651803,14.072986090081686,2,0,0,39.21135617566143,1,73855.0,0.329230047,1280.9,0.3321383826666667,1383.7666666666667,199243.43309975314,45.21960303416235
Endebess,2016,0.306232844,297.0920513,0.516487911,1.127661436,34.77227732,66225,18.8466814,1254.7,0.5929127179266778,0.4113603775,23.942051300000003,0.7036714636363648,451.2282129135559,66.57405125052672,15.020866649381631,3,0,0,39.21135617566143,1,63113.0,0.316762263,1395.7,0.31740838466666665,1310.4333333333334,216256.30640615936,52.78154136225269
Endebess,2017,0.316793589,297.1008914,0.527840078,1.127661436,34.77227732,74759,19.561,1394.0,0.6001685018535067,0.4223168335,23.950891400000046,0.010647136363633791,468.5033866754009,71.26424665077211,14.032281195098793,4,0,0,39.21135617566143,1,66225.0,0.306232844,1254.7,0.3132628986666666,1348.1333333333332,235985.72259704856,53.62912478218857
Endebess,2018,0.316822558,294.461619,0.515174624,1.127661436,34.77227732,123370,19.45,1626.0,0.614979714179955,0.41599859100000003,21.311619000000007,0.10035286363636686,414.51098955000015,83.5989674242176,11.961869611339562,5,0,1,39.21135617566143,1,74759.0,0.316793589,1394.0,0.31328299699999995,1424.8999999999999,389396.54859882616,75.87330868642478
Endebess,2019,0.30840163,296.2698578,0.500627107,1.127661436,34.77227732,69913,20.325,1470.0,0.6160293952492762,0.4045143685,23.119857800000034,0.7746471363636331,469.9111097850007,72.32471968882068,13.826530602839092,6,0,0,39.21135617566143,1,123370.0,0.316822558,1626.0,0.3140059256666667,1496.6666666666667,226693.91632619998,47.55986391322458
Endebess,2020,0.344800704,294.8257185,0.568654943,1.127661436,34.77227732,108934,19.4791667,2157.2,0.6063432700289215,0.45672782349999996,21.675718500000016,0.07118616363636576,422.22493400377425,110.74395134449198,9.029838072951124,7,0,1,39.21135617566143,1,69913.0,0.30840163,1470.0,0.32334163066666666,1751.0666666666666,315932.31337395014,50.49786758274715
Endebess,2021,0.326173183,297.2648615,0.551306601,1.127661436,34.77227732,72493,19.7291667,1030.3,0.5916355631744682,0.43873989199999996,24.114861500000018,0.17881383636363424,475.76612248091243,52.222172555206164,19.148953393041875,8,1,0,39.21135617566143,1,108934.0,0.344800704,2157.2,0.3264585056666666,1552.5,222252.41536053762,70.36105981717843
